Reference,Value,Footprint,Qty,Notes
U1,ESP32-DevKitC 30-pin,Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical x2,1,Female headers recommended
U2,OLED 0.96 SSD1306 I2C,Connector_PinHeader_2.54mm:PinHeader_1x4_P2.54mm_Vertical,1,Address 0x3C
U3,GM67 barcode module,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Confirm pin order on your module
U4,TP4056 charge module,Module:TP4056_generic,1,Prefer with DW01 protection
U5,MT3608 boost module,Module:MT3608_generic,1,Adjust to 5.00V no-load
BT1,Li-Po 3.7V + PCM,Connector_JST:JST_PH_B2B-PH-K_1x02,1,700mAh class preferred
R1,100k 1%,Resistor_SMD:R_0805_2012Metric,1,Battery top
R2,100k 1%,Resistor_SMD:R_0805_2012Metric,1,Battery bottom
C1,100nF 50V,Capacitor_SMD:C_0805_2012Metric,1,ADC filter
R3,10k,Resistor_SMD:R_0805_2012Metric,1,Optional BTN_UP pull-up
R4,10k,Resistor_SMD:R_0805_2012Metric,1,Optional BTN_OK pull-up
R5,10k,Resistor_SMD:R_0805_2012Metric,1,Optional BTN_DOWN pull-up
SW1,Tactile 6x6,Button_Switch_THT:SW_PUSH_6mm,1,UP GPIO32
SW2,Tactile 6x6,Button_Switch_THT:SW_PUSH_6mm,1,OK GPIO33
SW3,Tactile 6x6,Button_Switch_THT:SW_PUSH_6mm,1,DOWN GPIO25
H1-H4,M2 mounting hole,MountingHole:MountingHole_2.2mm_M2,4,Corners
